RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage 1,current 1,power 1,voltage 2,current 2,power 2
2023-07-28, 10:39:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:53, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:21, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:26, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:28, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
